pos_east,pos_north,to_shadow,height
277.469,-265.882,True,0
277.469,-273.441,True,0
277.469,-281.0,True,0
277.469,-288.559,True,0
277.469,-296.118,True,0
277.469,-303.677,True,0
277.469,-311.236,True,0
277.469,-318.795,True,0
277.469,-326.354,True,0
277.469,-333.913,True,0
277.469,-341.472,True,0
277.469,-349.031,True,0
277.469,-356.59,True,0
277.469,-364.15,True,0
277.469,-371.709,True,0
277.469,-379.268,True,0
277.469,-386.827,True,0
277.469,-394.386,True,0
277.469,-401.945,True,0
277.469,-409.504,True,0
277.469,-417.063,True,0
277.469,-424.622,True,0
285.028,-54.2283,True,0
285.028,-61.7873,True,0
285.028,-69.3464,True,0
285.028,-76.9054,True,0
285.028,-84.4645,True,0
285.028,-92.0235,True,0
285.028,-99.5826,True,0
285.028,-107.142,True,0
285.028,-114.701,True,0
285.028,-122.26,True,0
285.028,-129.819,True,0
285.028,-137.378,True,0
285.028,-144.937,True,0
285.028,-152.496,True,0
285.028,-160.055,True,0
285.028,-167.614,True,0
285.028,-175.173,True,0
285.028,-182.732,True,0
285.028,-190.291,True,0
285.028,-197.85,True,0
285.028,-205.409,True,0
285.028,-212.968,True,0
285.028,-220.527,True,0
285.028,-228.087,True,0
285.028,-235.646,True,0
285.028,-243.205,True,0
285.028,-250.764,True,0
285.028,-258.323,True,0
285.028,-265.882,True,0
285.028,-273.441,True,0
285.028,-281.0,True,0
285.028,-288.559,True,0
285.028,-296.118,True,0
285.028,-303.677,True,0
285.028,-311.236,True,0
285.028,-318.795,True,0
285.028,-326.354,True,0
285.028,-333.913,True,0
285.028,-341.472,True,0
285.028,-349.031,True,0
285.028,-356.59,True,0
285.028,-364.15,True,0
285.028,-371.709,True,0
285.028,-379.268,True,0
285.028,-386.827,True,0
285.028,-394.386,True,0
285.028,-401.945,True,0
285.028,-409.504,True,0
285.028,-417.063,True,0
285.028,-424.622,True,0
292.587,-54.2283,True,0
292.587,-61.7873,True,0
292.587,-69.3464,True,0
292.587,-76.9054,True,0
292.587,-84.4645,True,0
292.587,-92.0235,True,0
292.587,-99.5826,True,0
292.587,-107.142,True,0
292.587,-114.701,True,0
292.587,-122.26,True,0
292.587,-129.819,True,0
292.587,-137.378,True,0
292.587,-144.937,True,0
292.587,-152.496,True,0
292.587,-160.055,True,0
292.587,-167.614,True,0
292.587,-175.173,True,0
292.587,-182.732,True,0
292.587,-190.291,True,0
292.587,-197.85,True,0
292.587,-205.409,True,0
292.587,-212.968,True,0
292.587,-220.527,True,0
292.587,-228.087,True,0
292.587,-235.646,True,0
292.587,-243.205,True,0
292.587,-250.764,True,0
292.587,-258.323,True,0
292.587,-265.882,True,0
292.587,-273.441,True,0
292.587,-281.0,True,0
292.587,-288.559,True,0
292.587,-296.118,True,0
292.587,-303.677,True,0
292.587,-311.236,True,0
292.587,-318.795,True,0
292.587,-326.354,True,0
292.587,-333.913,True,0
292.587,-341.472,True,0
292.587,-349.031,True,0
292.587,-356.59,True,0
292.587,-364.15,True,0
292.587,-371.709,True,0
292.587,-379.268,True,0
292.587,-386.827,True,0
292.587,-394.386,True,0
292.587,-401.945,True,0
292.587,-409.504,True,0
292.587,-417.063,True,0
292.587,-424.622,True,0
300.146,-54.2283,True,0
300.146,-61.7873,True,0
300.146,-69.3464,True,0
300.146,-76.9054,True,0
300.146,-84.4645,True,0
300.146,-92.0235,True,0
300.146,-99.5826,True,0
300.146,-107.142,True,0
300.146,-114.701,True,0
300.146,-122.26,True,0
300.146,-129.819,True,0
300.146,-137.378,True,0
300.146,-144.937,True,0
300.146,-152.496,True,0
300.146,-160.055,True,0
300.146,-167.614,True,0
300.146,-175.173,True,0
300.146,-182.732,True,0
300.146,-190.291,True,0
300.146,-197.85,True,0
300.146,-205.409,True,0
300.146,-212.968,True,0
300.146,-220.527,True,0
300.146,-228.087,True,0
300.146,-235.646,True,0
300.146,-243.205,True,0
300.146,-250.764,True,0
300.146,-258.323,True,0
300.146,-265.882,True,0
300.146,-273.441,True,0
300.146,-281.0,True,0
300.146,-288.559,True,0
300.146,-296.118,True,0
300.146,-303.677,True,0
300.146,-311.236,True,0
300.146,-318.795,True,0
300.146,-326.354,True,0
300.146,-333.913,True,0
300.146,-341.472,True,0
300.146,-349.031,True,0
300.146,-356.59,True,0
300.146,-364.15,True,0
300.146,-371.709,True,0
300.146,-379.268,True,0
300.146,-386.827,True,0
300.146,-394.386,True,0
300.146,-401.945,True,0
300.146,-409.504,True,0
300.146,-417.063,True,0
300.146,-424.622,True,0
307.705,-54.2283,True,0
307.705,-61.7873,True,0
307.705,-69.3464,True,0
307.705,-76.9054,True,0
307.705,-84.4645,True,0
307.705,-92.0235,True,0
307.705,-99.5826,True,0
307.705,-107.142,True,0
307.705,-114.701,True,0
307.705,-122.26,True,0
307.705,-129.819,True,0
307.705,-137.378,True,0
307.705,-144.937,True,0
307.705,-152.496,True,0
307.705,-160.055,True,0
307.705,-167.614,True,0
307.705,-175.173,True,0
307.705,-182.732,True,0
307.705,-190.291,True,0
307.705,-197.85,True,0
307.705,-205.409,True,0
307.705,-212.968,True,0
307.705,-220.527,True,0
307.705,-228.087,True,0
307.705,-235.646,True,0
307.705,-243.205,True,0
307.705,-250.764,True,0
307.705,-258.323,True,0
307.705,-265.882,True,0
307.705,-273.441,True,0
307.705,-281.0,True,0
307.705,-288.559,True,0
307.705,-296.118,True,0
307.705,-303.677,True,0
307.705,-311.236,True,0
307.705,-318.795,True,0
307.705,-326.354,True,0
307.705,-333.913,True,0
307.705,-341.472,True,0
307.705,-349.031,True,0
307.705,-356.59,True,0
307.705,-364.15,True,0
307.705,-371.709,True,0
307.705,-379.268,True,0
307.705,-386.827,True,0
307.705,-394.386,True,0
307.705,-401.945,True,0
307.705,-409.504,True,0
307.705,-417.063,True,0
307.705,-424.622,True,0
315.264,-69.3464,True,0
315.264,-76.9054,True,0
315.264,-84.4645,True,0
315.264,-92.0235,True,0
315.264,-99.5826,True,0
315.264,-107.142,True,0
315.264,-114.701,True,0
315.264,-122.26,True,0
315.264,-129.819,True,0
315.264,-137.378,True,0
315.264,-144.937,True,0
315.264,-152.496,True,0
315.264,-160.055,True,0
315.264,-167.614,True,0
315.264,-175.173,True,0
315.264,-182.732,True,0
315.264,-190.291,True,0
315.264,-197.85,True,0
315.264,-205.409,True,0
315.264,-212.968,True,0
315.264,-220.527,True,0
315.264,-228.087,True,0
315.264,-235.646,True,0
315.264,-243.205,True,0
315.264,-250.764,True,0
315.264,-258.323,True,0
315.264,-265.882,True,0
315.264,-273.441,True,0
315.264,-281.0,True,0
