,pos_east,pos_north,width,depth,height,azimuth
47,258.52,-315.47,85.3883,7.55906,2.5,3.141592653589793
48,258.52,-329.938,85.3883,7.55906,2.5,3.141592653589793
49,345.282,-141.85,85.3883,7.55906,2.5,3.141592653589793
50,345.282,-156.318,85.3883,7.55906,2.5,3.141592653589793
51,345.282,-170.786,85.3883,7.55906,2.5,3.141592653589793
52,345.282,-185.254,85.3883,7.55906,2.5,3.141592653589793
53,345.282,-199.722,85.3883,7.55906,2.5,3.141592653589793
54,345.282,-214.19,85.3883,7.55906,2.5,3.141592653589793
55,345.282,-228.658,85.3883,7.55906,2.5,3.141592653589793
56,345.282,-243.126,85.3883,7.55906,2.5,3.141592653589793
57,345.282,-257.594,85.3883,7.55906,2.5,3.141592653589793
58,345.282,-272.062,85.3883,7.55906,2.5,3.141592653589793
59,345.282,-286.53,85.3883,7.55906,2.5,3.141592653589793
60,345.282,-300.999,85.3883,7.55906,2.5,3.141592653589793
61,345.282,-315.467,85.3883,7.55906,2.5,3.141592653589793
62,345.282,-329.935,85.3883,7.55906,2.5,3.141592653589793
63,345.282,-344.403,85.3883,7.55906,2.5,3.141592653589793
64,345.282,-358.871,85.3883,7.55906,2.5,3.141592653589793
65,345.282,-373.339,85.3883,7.55906,2.5,3.141592653589793
66,345.282,-387.807,85.3883,7.55906,2.5,3.141592653589793
67,300.461,-358.778,42.6935,7.55906,2.5,3.141592653589793
68,300.461,-373.239,42.6935,7.55906,2.5,3.141592653589793
69,300.461,-387.699,42.6935,7.55906,2.5,3.141592653589793
70,450.615,-214.294,85.3883,7.55906,2.5,3.141592653589793
71,450.615,-228.762,85.3883,7.55906,2.5,3.141592653589793
72,450.615,-243.23,85.3883,7.55906,2.5,3.141592653589793
73,450.615,-257.698,85.3883,7.55906,2.5,3.141592653589793
74,450.615,-272.166,85.3883,7.55906,2.5,3.141592653589793
75,450.615,-286.634,85.3883,7.55906,2.5,3.141592653589793
76,450.615,-301.102,85.3883,7.55906,2.5,3.141592653589793
77,450.615,-315.57,85.3883,7.55906,2.5,3.141592653589793
78,450.615,-330.038,85.3883,7.55906,2.5,3.141592653589793
79,450.615,-344.506,85.3883,7.55906,2.5,3.141592653589793
80,450.615,-358.974,85.3883,7.55906,2.5,3.141592653589793
81,450.615,-373.442,85.3883,7.55906,2.5,3.141592653589793
82,450.615,-387.91,85.3883,7.55906,2.5,3.141592653589793
83,537.527,-257.756,42.6935,7.55906,2.5,3.141592653589793
84,538.0350000000001,-286.647,85.3883,7.55906,2.5,3.141592653589793
85,538.0350000000001,-301.115,85.3883,7.55906,2.5,3.141592653589793
86,538.0350000000001,-315.583,85.3883,7.55906,2.5,3.141592653589793
87,538.0350000000001,-330.051,85.3883,7.55906,2.5,3.141592653589793
88,538.0350000000001,-344.519,85.3883,7.55906,2.5,3.141592653589793
89,538.0350000000001,-358.988,85.3883,7.55906,2.5,3.141592653589793
90,538.0350000000001,-373.456,85.3883,7.55906,2.5,3.141592653589793
91,538.0350000000001,-387.924,85.3883,7.55906,2.5,3.141592653589793
92,625.141,-330.047,42.6935,7.55906,2.5,3.141592653589793
93,625.141,-344.508,42.6935,7.55906,2.5,3.141592653589793
94,625.141,-358.968,42.6935,7.55906,2.5,3.141592653589793
